WKT,OBJECTID,NAME,RT,DIR,FORWARD,mile_numbe,LOCATION,TOWNSHIP,COUNTY,MDOT_TSC,REGION,GARAGE,DATE_,POST_ID,MARKER_ID,DUPE,PR,MP
"MULTIPOINT (-83.693726441779049 41.740111677856106)",1,South US-23 - Mile 1,US-23,S,Reverse,       1.000000000000000,South US-23 - Mile 1,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3179,3638,0,1223504,       0.986000000000000
"MULTIPOINT (-83.693428806664159 41.740372900220869)",2,North US-23 - Mile 1,US-23,N,Forward,       1.000000000000000,North US-23 - Mile 1,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3180,3639,0,1223505,       1.003000000000000
"MULTIPOINT (-83.485030063133777 41.746192547010487)",3,South I-75 - Mile 1,I-75,S,Reverse,       1.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4216,4675,0,1226909,       0.997000000000000
"MULTIPOINT (-83.484722479415339 41.746303200628049)",4,North I-75 - Mile 1,I-75,N,Forward,       1.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4217,4676,0,1226910,       1.006000000000000
"MULTIPOINT (-83.694697893627108 41.754617948313104)",5,South US-23 - Mile 2,US-23,S,Reverse,       2.000000000000000,South US-23 - Mile 2,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3178,3637,0,1223504,       1.989000000000000
"MULTIPOINT (-83.694368340899643 41.754857958389316)",6,North US-23 - Mile 2,US-23,N,Forward,       2.000000000000000,North US-23 - Mile 2,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3181,3640,0,1223505,       2.004000000000000
"MULTIPOINT (-83.481281198887544 41.759620700899895)",7,South I-75 - Mile 2,I-75,S,Reverse,       2.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4215,4674,0,1226909,       1.944000000000000
"MULTIPOINT (-83.480594025009495 41.759898802041562)",8,North I-75 - Mile 2,I-75,N,Forward,       2.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4218,4677,0,1226910,       1.973000000000000
"MULTIPOINT (-83.69525897635684 41.768823948435738)",9,South US-23 - Mile 3,US-23,S,Reverse,       3.000000000000000,South US-23 - Mile 3,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3177,3636,0,1223504,       2.970000000000000
"MULTIPOINT (-83.694905493977885 41.768959818028293)",10,North US-23 - Mile 3,US-23,N,Forward,       3.000000000000000,North US-23 - Mile 3,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3182,3641,0,1223505,       2.977000000000000
